region,year,production
World,2000,77725.45
World,2001,77672.25
World,2002,77100.67
World,2003,79606.39
World,2004,83402.08
World,2005,85101.22
World,2006,85153.03
World,2007,85167.47
World,2008,86569.89
World,2009,85738.80
World,2010,88116.56
World,2011,88536.23
World,2012,90461.56
World,2013,90904.17
World,2014,93097.20
